Fscl-yr_Ex-fin,Project-nbr_No-de-projet,On-time_Respect-des-delais,On-budget_Respect-du-budget,On-scope_Respect-de-la-portee,Overall-project-health_Sante-globale-du-projet
2021-2022,2021-2022-00557,1,1,1,1
2021-2022,2021-2022-00561,1,1,1,1
2021-2022,2021-2022-00562,1,1,1,1
2021-2022,2021-2022-00563,2,1,1,2
2021-2022,2021-2022-00565,1,1,1,1
2021-2022,2021-2022-00567,1,1,1,1
2021-2022,2021-2022-00568,1,1,0,1
2021-2022,2021-2022-00569,1,1,1,1
2021-2022,2021-2022-00571,1,1,1,1
2021-2022,2021-2022-00573,1,1,1,1
2021-2022,2021-2022-00574,1,1,1,1
2021-2022,2021-2022-00575,1,1,1,1
2021-2022,2021-2022-00576,1,1,1,1
2021-2022,2021-2022-00577,1,1,1,1
2021-2022,2021-2022-00578,1,1,1,1
2021-2022,2021-2022-00579,1,1,1,1
2021-2022,2021-2022-00580,1,1,1,1
2021-2022,2021-2022-00581,1,1,1,1
2021-2022,2021-2022-00582,1,1,1,1
2021-2022,2021-2022-00583,1,1,1,1
2021-2022,2021-2022-00584,1,1,1,1
2021-2022,2021-2022-00585,1,1,1,1
2021-2022,2021-2022-00586,1,1,1,1
2021-2022,2021-2022-00587,1,1,1,1
2021-2022,2021-2022-00588,1,1,1,1
2021-2022,2021-2022-00589,1,1,1,1
2021-2022,2021-2022-00590,1,1,1,1
2021-2022,2021-2022-00591,1,1,1,1
2021-2022,2021-2022-00592,1,1,1,1
2021-2022,2021-2022-00593,1,1,1,1
2021-2022,2021-2022-00594,1,1,1,1
2021-2022,2021-2022-00595,1,1,1,1
2021-2022,2021-2022-00596,1,1,1,1
2021-2022,2021-2022-00597,1,1,1,1
2021-2022,2021-2022-00598,1,1,1,1
2021-2022,2021-2022-00599,1,1,1,1
2021-2022,2021-2022-00600,1,1,1,1
2021-2022,2021-2022-00601,1,1,1,1
2021-2022,2021-2022-00602,1,1,1,1
2021-2022,2021-2022-00603,1,1,1,1
2021-2022,2021-2022-00604,1,1,1,1
2021-2022,2021-2022-00605,1,1,1,1
2021-2022,2021-2022-00606,1,1,1,1
2021-2022,2021-2022-00607,1,1,1,1
2021-2022,2021-2022-00608,1,1,1,1
2021-2022,2021-2022-00609,1,1,1,1
2021-2022,2021-2022-00610,1,1,1,1
2021-2022,2021-2022-00611,1,1,1,1
2021-2022,2021-2022-00612,1,1,1,1
2021-2022,2021-2022-00613,1,1,1,1
2021-2022,2021-2022-00614,1,1,1,1
2021-2022,2021-2022-00615,1,1,1,1
2021-2022,2021-2022-00616,1,1,1,1
2021-2022,2021-2022-00617,1,1,1,1
2021-2022,2021-2022-00618,1,1,1,1
